STATE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024
MT,1478624,1483880,1512780,1535704,1548800,1558350,5256,28900,22924,13096,9550,3830,14962,15352,15060,15344,3128,15014,16024,14258,13994,702,-52,-672,802,1350,70,1080,1540,558,754,4538,28582,21296,11672,7424,4608,29662,22836,12230,8178,-54,-710,760,64,22
NC,19856810,19879574,20117321,20411439,20748653,21077525,22764,237747,294118,337214,328872,54933,223632,232919,232481,232835,47823,213159,218471,201468,201288,7110,10473,14448,31013,31547,1355,19621,84568,114963,138684,20389,206942,193882,188937,158398,21744,226563,278450,303900,297082,-6090,711,1220,2301,243
ND,1276313,1277860,1278942,1287132,1303771,1318859,1547,1082,8190,16639,15088,4219,16603,16498,15946,15497,2641,11233,10899,10164,9907,1578,5370,5599,5782,5590,59,895,6243,7831,9393,-350,-4663,-3654,3029,144,-291,-3768,2589,10860,9537,260,-520,2,-3,-39
NE,3364833,3368372,3372225,3387592,3419741,3456029,3539,3853,15367,32149,36288,10527,42142,41831,42721,42507,7191,31392,31155,29636,29465,3336,10750,10676,13085,13042,190,2983,14714,20250,24445,-1000,-11234,-8819,-740,-1182,-810,-8251,5895,19510,23263,1013,1354,-1204,-446,-17
NH,2679390,2681607,2697102,2714316,2725210,2738463,2217,15495,17214,10894,13253,5862,23751,24130,23814,23253,6769,26169,27832,27150,26932,-907,-2418,-3702,-3336,-3679,177,3078,3183,6961,8586,2184,13549,18115,7679,8299,2361,16627,21298,14640,16885,763,1286,-382,-410,47
NJ,16197921,16172141,16188007,16232223,16374488,16582374,-25780,15866,44216,142265,207886,42847,170264,178898,178799,177067,59102,149592,147605,137449,133709,-16255,20672,31293,41350,43358,1403,24029,119159,177952,215445,-13236,-32852,-103686,-75819,-51077,-11833,-8823,15473,102133,164368,2308,4017,-2550,-1218,160
NM,4045114,4047652,4045676,4040392,4055184,4074280,2538,-1976,-5284,14792,19096,10226,41288,41324,41604,40150,10362,46172,47850,42198,41806,-136,-4884,-6526,-594,-1656,310,4470,11194,19478,23792,1632,-3038,-8820,-3598,-3024,1942,1432,2374,15880,20768,732,1476,-1132,-494,-16
NV,6149882,6172835,6235897,6292097,6369092,6475243,22953,63062,56200,76995,106151,16161,66178,66518,65124,63471,13819,63995,66002,57950,56967,2342,2183,516,7174,6504,274,7202,15437,53940,65917,21005,51814,40378,16571,33351,21279,59016,55815,70511,99268,-668,1863,-131,-690,379
NY,61925070,61629788,60819927,60446585,60647774,61154699,-295282,-809861,-373342,201189,506925,164694,638572,656326,645002,641019,230535,517858,512930,483618,469443,-65841,120714,143396,161384,171576,5118,99604,406843,614699,746731,-215895,-985568,-943979,-577070,-411221,-210777,-885964,-537136,37629,335510,-18664,-44611,20398,2176,-161
OH,22988786,22989199,22930703,22960525,23060015,23184647,413,-58496,29822,99490,124632,63054,249770,251298,251215,247036,65263,282497,286431,253006,243999,-2209,-32727,-35133,-1791,3037,1044,18589,81382,104649,126464,-4595,-53316,-7507,-189,-4466,-3551,-34727,73875,104460,121998,6173,8958,-8920,-3179,-403
OK,6782847,6795283,6846038,6910284,6980206,7041033,12436,50755,64246,69922,60827,19943,81788,83131,83660,82110,16667,81979,83478,73049,71346,3276,-191,-347,10611,10764,352,4028,22612,22128,26867,7522,44271,43678,37640,23203,7874,48299,66290,59768,50070,1286,2647,-1697,-457,-7
OR,8889237,8904314,8931985,8923798,8942766,8986525,15077,27671,-8187,18968,43759,21692,83938,85911,82538,82547,19868,86880,96053,89921,87821,1824,-2942,-10142,-7383,-5274,368,5647,16146,40244,49366,13023,23143,-12874,-13349,-400,13391,28790,3272,26895,48966,-138,1823,-1317,-544,67
PA,31625028,31609242,31662235,31604617,31700700,31874439,-15786,52993,-57618,96083,173739,80892,320064,325817,319776,315923,98773,365875,363256,332017,321756,-17881,-45811,-37439,-12241,-5833,1732,26718,100473,179259,216507,-8790,55607,-109662,-66670,-36322,-7058,82325,-9189,112589,180185,9153,16479,-10990,-4265,-613
RI,2774006,2769836,2774221,2780197,2791911,2813209,-4170,4385,5976,11714,21298,6548,25518,26586,25611,25063,8711,28833,28393,27002,26605,-2163,-3315,-1807,-1391,-1542,176,2863,19685,19019,23062,-2502,3453,-10740,-5385,-261,-2326,6316,8945,13634,22801,319,1384,-1162,-529,39
SC,9002320,9029326,9145487,9322238,9508207,9679758,27006,116161,176751,185969,171551,23892,98542,101982,102721,102047,23966,111811,111770,101302,100372,-74,-13269,-9788,1419,1675,656,7454,25554,34691,41909,27667,123351,155523,147215,127489,28323,130805,181077,181906,169398,-1243,-1375,5462,2644,478
SD,1344183,1346990,1364632,1389769,1406421,1417859,2807,17642,25137,16652,11438,4205,16159,16762,16200,15912,2884,13250,12536,11661,11853,1321,2909,4226,4539,4059,128,2043,4389,2291,2805,1268,12652,15805,9587,4496,1396,14695,20194,11878,7301,90,38,717,235,78
TN,13367945,13399260,13475728,13662581,13826584,13976731,31315,76468,186853,164003,150147,37770,155295,160433,161504,160338,35907,168973,172608,153244,150650,1863,-13678,-12175,8260,9688,426,6131,38958,45540,55399,28513,85573,153915,108246,85155,28939,91704,192873,153786,140554,513,-1558,6155,1957,-95
TX,63397782,63604409,64356094,65617780,67008696,68293514,206627,751685,1261686,1390916,1284818,192696,795776,841050,855385,849225,116296,560709,540640,481855,474984,76400,235067,300410,373530,374241,4630,99613,441746,601773,732375,121580,423645,510193,410684,179869,126210,523258,951939,1012457,912244,4017,-6640,9337,4929,-1667
UT,6277002,6301323,6409110,6508114,6609574,6728060,24321,107787,99004,101460,118486,22812,88061,89122,87532,87929,9388,41172,43759,39779,40706,13424,46889,45363,47753,47223,236,4063,29984,54098,65365,9100,57161,24407,-468,5789,9336,61224,54391,53630,71154,1561,-326,-750,77,109
VA,15610512,15623996,15665375,15718455,15818231,15968203,13484,41379,53080,99776,149972,43357,173017,176136,174127,172388,33307,140505,143924,133680,131511,10050,32512,32212,40447,40877,1508,28017,80775,90823,109877,-803,-20779,-59344,-31214,-684,705,7238,21431,59609,109193,2729,1629,-563,-280,-98
VT,945448,945365,951244,952316,952576,952053,-83,5879,1072,260,-523,1916,7573,7988,7470,7353,2265,9207,10210,9804,9630,-349,-1634,-2222,-2334,-2277,41,696,3203,2379,2916,-74,6405,579,369,-1163,-33,7101,3782,2748,1753,299,412,-488,-154,1
WA,18600115,18645435,18653373,18769345,18925372,19185512,45320,7938,115972,156027,260140,51345,200635,203847,199521,198726,35322,150236,162869,156889,151672,16023,50399,40978,42632,47054,1872,38267,120430,182807,222258,24361,-82756,-36812,-66843,-9650,26233,-44489,83618,115964,212608,3064,2028,-8624,-2569,478
WI,10353554,10358686,10319955,10357889,10405888,10464963,5132,-38731,37934,47999,59075,27706,106992,107979,106795,105290,24372,105684,107783,99944,97212,3334,1308,196,6851,8078,428,6209,37969,34893,42314,-1698,-49459,3948,7893,8516,-1270,-43250,41917,42786,50830,3068,3211,-4179,-1638,167
WV,2814166,2810880,2798432,2780008,2772700,2770782,-3286,-12448,-18424,-7308,-1918,6701,26562,26594,25656,24949,9085,43178,45889,39679,37367,-2384,-16616,-19295,-14023,-12418,67,1174,2915,3668,4487,-1428,1516,-920,3520,6038,-1361,2690,1995,7188,10525,459,1478,-1124,-473,-25
WY,914910,916630,918954,921875,926827,932432,1720,2324,2921,4952,5605,2507,9870,9866,9699,9669,1913,9266,10261,8705,8471,594,604,-395,994,1198,32,237,1040,1984,2453,958,1423,2449,2051,1951,990,1660,3489,4035,4404,136,60,-173,-77,3
